"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 21:36:40 GMT 2025","Tue Mar 18 21:36:43 GMT 2025","2690","","","","","","Create product and verify the details (UI Scope)",""
"passed","Tue Mar 18 21:36:37 GMT 2025","Tue Mar 18 21:36:41 GMT 2025","4230","","","","","","Delete Product and verify it",""
"passed","Tue Mar 18 21:36:40 GMT 2025","Tue Mar 18 21:36:40 GMT 2025","17","","","","","","Create product and verify the details (API Scope)",""
"passed","Tue Mar 18 21:36:46 GMT 2025","Tue Mar 18 21:36:46 GMT 2025","10","","","","","","Delete Product and verify it (API Scope)",""
"passed","Tue Mar 18 21:36:33 GMT 2025","Tue Mar 18 21:36:37 GMT 2025","3794","","","","","","Create product and verify the details",""
"passed","Tue Mar 18 21:36:39 GMT 2025","Tue Mar 18 21:36:40 GMT 2025","1038","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Tue Mar 18 21:36:41 GMT 2025","Tue Mar 18 21:36:45 GMT 2025","3461","","","","","","Edit Product and verify if its updated",""
"passed","Tue Mar 18 21:36:35 GMT 2025","Tue Mar 18 21:36:35 GMT 2025","152","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Tue Mar 18 21:36:43 GMT 2025","Tue Mar 18 21:36:46 GMT 2025","2622","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Tue Mar 18 21:36:35 GMT 2025","Tue Mar 18 21:36:35 GMT 2025","14","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Tue Mar 18 21:36:35 GMT 2025","Tue Mar 18 21:36:35 GMT 2025","10","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Tue Mar 18 21:36:33 GMT 2025","Tue Mar 18 21:36:35 GMT 2025","1473","","","","","","Create product and verify the details (Databse Scope)",""
