"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 08 11:28:46 GMT 2025","Tue Apr 08 11:28:47 GMT 2025","1112","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Tue Apr 08 11:28:43 GMT 2025","Tue Apr 08 11:28:43 GMT 2025","11","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Tue Apr 08 11:28:54 GMT 2025","Tue Apr 08 11:28:54 GMT 2025","14","","","","","","Delete Product and verify it (API Scope)",""
"passed","Tue Apr 08 11:28:51 GMT 2025","Tue Apr 08 11:28:53 GMT 2025","2595","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Tue Apr 08 11:28:48 GMT 2025","Tue Apr 08 11:28:50 GMT 2025","2818","","","","","","Create product and verify the details (UI Scope)",""
"passed","Tue Apr 08 11:28:42 GMT 2025","Tue Apr 08 11:28:42 GMT 2025","148","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Tue Apr 08 11:28:40 GMT 2025","Tue Apr 08 11:28:44 GMT 2025","3794","","","","","","Create product and verify the details",""
"passed","Tue Apr 08 11:28:49 GMT 2025","Tue Apr 08 11:28:52 GMT 2025","3462","","","","","","Edit Product and verify if its updated",""
"passed","Tue Apr 08 11:28:40 GMT 2025","Tue Apr 08 11:28:42 GMT 2025","1525","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Tue Apr 08 11:28:48 GMT 2025","Tue Apr 08 11:28:48 GMT 2025","18","","","","","","Create product and verify the details (API Scope)",""
"passed","Tue Apr 08 11:28:42 GMT 2025","Tue Apr 08 11:28:42 GMT 2025","19","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Tue Apr 08 11:28:44 GMT 2025","Tue Apr 08 11:28:49 GMT 2025","4525","","","","","","Delete Product and verify it",""
