"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 22:03:56 GMT 2025","Sun Apr 13 22:04:00 GMT 2025","4091","","","","","","Delete Product and verify it",""
"passed","Sun Apr 13 22:03:52 GMT 2025","Sun Apr 13 22:03:53 GMT 2025","1502","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Sun Apr 13 22:04:02 GMT 2025","Sun Apr 13 22:04:04 GMT 2025","2533","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Sun Apr 13 22:03:52 GMT 2025","Sun Apr 13 22:03:56 GMT 2025","3703","","","","","","Create product and verify the details",""
"passed","Sun Apr 13 22:03:54 GMT 2025","Sun Apr 13 22:03:54 GMT 2025","147","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Sun Apr 13 22:03:57 GMT 2025","Sun Apr 13 22:03:58 GMT 2025","1011","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Sun Apr 13 22:03:59 GMT 2025","Sun Apr 13 22:03:59 GMT 2025","14","","","","","","Create product and verify the details (API Scope)",""
"passed","Sun Apr 13 22:03:59 GMT 2025","Sun Apr 13 22:04:01 GMT 2025","2619","","","","","","Create product and verify the details (UI Scope)",""
"passed","Sun Apr 13 22:04:04 GMT 2025","Sun Apr 13 22:04:04 GMT 2025","13","","","","","","Delete Product and verify it (API Scope)",""
"passed","Sun Apr 13 22:04:00 GMT 2025","Sun Apr 13 22:04:03 GMT 2025","3329","","","","","","Edit Product and verify if its updated",""
"passed","Sun Apr 13 22:03:54 GMT 2025","Sun Apr 13 22:03:54 GMT 2025","9","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Sun Apr 13 22:03:53 GMT 2025","Sun Apr 13 22:03:53 GMT 2025","11","","","","","","Edit Product and verify if its updated (Databse Scope)",""
