"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 12:26:55 GMT 2024","Sun Jul 14 12:26:55 GMT 2024","16","","","","","","Create product and verify the details (API Scope)",""
"passed","Sun Jul 14 12:26:56 GMT 2024","Sun Jul 14 12:26:59 GMT 2024","3343","","","","","","Edit Product and verify if its updated",""
"passed","Sun Jul 14 12:26:50 GMT 2024","Sun Jul 14 12:26:51 GMT 2024","252","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Sun Jul 14 12:26:51 GMT 2024","Sun Jul 14 12:26:51 GMT 2024","14","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Sun Jul 14 12:26:55 GMT 2024","Sun Jul 14 12:26:58 GMT 2024","2640","","","","","","Create product and verify the details (UI Scope)",""
"passed","Sun Jul 14 12:26:50 GMT 2024","Sun Jul 14 12:26:50 GMT 2024","16","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Sun Jul 14 12:26:58 GMT 2024","Sun Jul 14 12:27:00 GMT 2024","2541","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Sun Jul 14 12:27:01 GMT 2024","Sun Jul 14 12:27:01 GMT 2024","11","","","","","","Delete Product and verify it (API Scope)",""
"failed","Sun Jul 14 12:26:49 GMT 2024","Sun Jul 14 12:26:52 GMT 2024","3284","","","","","","Create product and verify the details",""
"passed","Sun Jul 14 12:26:49 GMT 2024","Sun Jul 14 12:26:50 GMT 2024","1399","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Sun Jul 14 12:26:52 GMT 2024","Sun Jul 14 12:26:56 GMT 2024","4071","","","","","","Delete Product and verify it",""
"passed","Sun Jul 14 12:26:54 GMT 2024","Sun Jul 14 12:26:55 GMT 2024","978","","","","","","Edit Product and verify if its updated (UI Scope)",""
