"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 20:28:27 GMT 2024","Mon Jul 08 20:28:27 GMT 2024","106","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Mon Jul 08 20:28:34 GMT 2024","Mon Jul 08 20:28:36 GMT 2024","2457","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Mon Jul 08 20:28:37 GMT 2024","Mon Jul 08 20:28:37 GMT 2024","8","","","","","","Delete Product and verify it (API Scope)",""
"passed","Mon Jul 08 20:28:31 GMT 2024","Mon Jul 08 20:28:31 GMT 2024","10","","","","","","Create product and verify the details (API Scope)",""
"passed","Mon Jul 08 20:28:26 GMT 2024","Mon Jul 08 20:28:26 GMT 2024","17","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Mon Jul 08 20:28:24 GMT 2024","Mon Jul 08 20:28:26 GMT 2024","1520","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Mon Jul 08 20:28:24 GMT 2024","Mon Jul 08 20:28:28 GMT 2024","3767","","","","","","Create product and verify the details",""
"passed","Mon Jul 08 20:28:30 GMT 2024","Mon Jul 08 20:28:31 GMT 2024","940","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Mon Jul 08 20:28:31 GMT 2024","Mon Jul 08 20:28:34 GMT 2024","2442","","","","","","Create product and verify the details (UI Scope)",""
"passed","Mon Jul 08 20:28:27 GMT 2024","Mon Jul 08 20:28:27 GMT 2024","11","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Mon Jul 08 20:28:28 GMT 2024","Mon Jul 08 20:28:32 GMT 2024","3800","","","","","","Delete Product and verify it",""
"passed","Mon Jul 08 20:28:32 GMT 2024","Mon Jul 08 20:28:35 GMT 2024","3185","","","","","","Edit Product and verify if its updated",""
