"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 16:09:48 GMT 2024","Sat Aug 17 16:09:48 GMT 2024","15","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Sat Aug 17 16:09:53 GMT 2024","Sat Aug 17 16:09:56 GMT 2024","2683","","","","","","Create product and verify the details (UI Scope)",""
"passed","Sat Aug 17 16:09:59 GMT 2024","Sat Aug 17 16:09:59 GMT 2024","9","","","","","","Delete Product and verify it (API Scope)",""
"passed","Sat Aug 17 16:09:49 GMT 2024","Sat Aug 17 16:09:49 GMT 2024","10","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Sat Aug 17 16:09:55 GMT 2024","Sat Aug 17 16:09:58 GMT 2024","3365","","","","","","Edit Product and verify if its updated",""
"passed","Sat Aug 17 16:09:56 GMT 2024","Sat Aug 17 16:09:59 GMT 2024","2585","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Sat Aug 17 16:09:46 GMT 2024","Sat Aug 17 16:09:48 GMT 2024","1354","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Sat Aug 17 16:09:52 GMT 2024","Sat Aug 17 16:09:53 GMT 2024","986","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Sat Aug 17 16:09:53 GMT 2024","Sat Aug 17 16:09:53 GMT 2024","14","","","","","","Create product and verify the details (API Scope)",""
"passed","Sat Aug 17 16:09:48 GMT 2024","Sat Aug 17 16:09:48 GMT 2024","267","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Sat Aug 17 16:09:46 GMT 2024","Sat Aug 17 16:09:50 GMT 2024","3809","","","","","","Create product and verify the details",""
"passed","Sat Aug 17 16:09:50 GMT 2024","Sat Aug 17 16:09:54 GMT 2024","4275","","","","","","Delete Product and verify it",""
