"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 14:29:59 GMT 2025","Fri Mar 21 14:29:59 GMT 2025","13","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Fri Mar 21 14:29:58 GMT 2025","Fri Mar 21 14:29:58 GMT 2025","22","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Fri Mar 21 14:30:10 GMT 2025","Fri Mar 21 14:30:10 GMT 2025","9","","","","","","Delete Product and verify it (API Scope)",""
"passed","Fri Mar 21 14:29:56 GMT 2025","Fri Mar 21 14:30:00 GMT 2025","4019","","","","","","Create product and verify the details",""
"passed","Fri Mar 21 14:30:02 GMT 2025","Fri Mar 21 14:30:03 GMT 2025","1126","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Fri Mar 21 14:30:01 GMT 2025","Fri Mar 21 14:30:05 GMT 2025","4336","","","","","","Delete Product and verify it",""
"passed","Fri Mar 21 14:30:05 GMT 2025","Fri Mar 21 14:30:08 GMT 2025","3445","","","","","","Edit Product and verify if its updated",""
"passed","Fri Mar 21 14:29:58 GMT 2025","Fri Mar 21 14:29:59 GMT 2025","110","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Fri Mar 21 14:29:56 GMT 2025","Fri Mar 21 14:29:58 GMT 2025","1604","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Fri Mar 21 14:30:04 GMT 2025","Fri Mar 21 14:30:06 GMT 2025","2677","","","","","","Create product and verify the details (UI Scope)",""
"passed","Fri Mar 21 14:30:04 GMT 2025","Fri Mar 21 14:30:04 GMT 2025","22","","","","","","Create product and verify the details (API Scope)",""
"passed","Fri Mar 21 14:30:07 GMT 2025","Fri Mar 21 14:30:09 GMT 2025","2613","","","","","","Delete Product and verify it (UI Scope)",""
