"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:24:29 GMT 2025","Tue Mar 18 10:24:33 GMT 2025","3402","","","","","","Edit Product and verify if its updated",""
"passed","Tue Mar 18 10:24:23 GMT 2025","Tue Mar 18 10:24:23 GMT 2025","8","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Tue Mar 18 10:24:25 GMT 2025","Tue Mar 18 10:24:29 GMT 2025","4162","","","","","","Delete Product and verify it",""
"passed","Tue Mar 18 10:24:21 GMT 2025","Tue Mar 18 10:24:23 GMT 2025","1501","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Tue Mar 18 10:24:21 GMT 2025","Tue Mar 18 10:24:25 GMT 2025","3828","","","","","","Create product and verify the details",""
"passed","Tue Mar 18 10:24:23 GMT 2025","Tue Mar 18 10:24:23 GMT 2025","20","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Tue Mar 18 10:24:27 GMT 2025","Tue Mar 18 10:24:28 GMT 2025","1011","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Tue Mar 18 10:24:31 GMT 2025","Tue Mar 18 10:24:34 GMT 2025","2580","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Tue Mar 18 10:24:34 GMT 2025","Tue Mar 18 10:24:34 GMT 2025","9","","","","","","Delete Product and verify it (API Scope)",""
"passed","Tue Mar 18 10:24:28 GMT 2025","Tue Mar 18 10:24:28 GMT 2025","13","","","","","","Create product and verify the details (API Scope)",""
"passed","Tue Mar 18 10:24:23 GMT 2025","Tue Mar 18 10:24:23 GMT 2025","135","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Tue Mar 18 10:24:28 GMT 2025","Tue Mar 18 10:24:31 GMT 2025","2650","","","","","","Create product and verify the details (UI Scope)",""
