"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 03 16:25:55 GMT 2024","Sat Aug 03 16:25:55 GMT 2024","14","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Sat Aug 03 16:25:53 GMT 2024","Sat Aug 03 16:25:57 GMT 2024","3866","","","","","","Create product and verify the details",""
"passed","Sat Aug 03 16:26:00 GMT 2024","Sat Aug 03 16:26:00 GMT 2024","16","","","","","","Create product and verify the details (API Scope)",""
"passed","Sat Aug 03 16:26:06 GMT 2024","Sat Aug 03 16:26:06 GMT 2024","12","","","","","","Delete Product and verify it (API Scope)",""
"passed","Sat Aug 03 16:26:01 GMT 2024","Sat Aug 03 16:26:05 GMT 2024","3417","","","","","","Edit Product and verify if its updated",""
"passed","Sat Aug 03 16:25:55 GMT 2024","Sat Aug 03 16:25:55 GMT 2024","237","","","","","","Edit Product and verify if its updated (API Scope)",""
"passed","Sat Aug 03 16:26:00 GMT 2024","Sat Aug 03 16:26:03 GMT 2024","2714","","","","","","Create product and verify the details (UI Scope)",""
"passed","Sat Aug 03 16:26:03 GMT 2024","Sat Aug 03 16:26:06 GMT 2024","2607","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Sat Aug 03 16:25:53 GMT 2024","Sat Aug 03 16:25:54 GMT 2024","1358","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Sat Aug 03 16:25:54 GMT 2024","Sat Aug 03 16:25:54 GMT 2024","16","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Sat Aug 03 16:25:57 GMT 2024","Sat Aug 03 16:26:01 GMT 2024","4292","","","","","","Delete Product and verify it",""
"passed","Sat Aug 03 16:25:59 GMT 2024","Sat Aug 03 16:26:00 GMT 2024","1066","","","","","","Edit Product and verify if its updated (UI Scope)",""
