"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 16:02:37 GMT 2024","Sat Aug 17 16:02:37 GMT 2024","12","","","","","","Delete Product and verify it (Databse Scope)",""
"passed","Sat Aug 17 16:02:40 GMT 2024","Sat Aug 17 16:02:41 GMT 2024","982","","","","","","Edit Product and verify if its updated (UI Scope)",""
"passed","Sat Aug 17 16:02:34 GMT 2024","Sat Aug 17 16:02:38 GMT 2024","3700","","","","","","Create product and verify the details",""
"passed","Sat Aug 17 16:02:34 GMT 2024","Sat Aug 17 16:02:36 GMT 2024","1286","","","","","","Create product and verify the details (Databse Scope)",""
"passed","Sat Aug 17 16:02:42 GMT 2024","Sat Aug 17 16:02:46 GMT 2024","3371","","","","","","Edit Product and verify if its updated",""
"passed","Sat Aug 17 16:02:41 GMT 2024","Sat Aug 17 16:02:41 GMT 2024","17","","","","","","Create product and verify the details (API Scope)",""
"passed","Sat Aug 17 16:02:36 GMT 2024","Sat Aug 17 16:02:36 GMT 2024","13","","","","","","Edit Product and verify if its updated (Databse Scope)",""
"passed","Sat Aug 17 16:02:38 GMT 2024","Sat Aug 17 16:02:42 GMT 2024","4105","","","","","","Delete Product and verify it",""
"passed","Sat Aug 17 16:02:44 GMT 2024","Sat Aug 17 16:02:47 GMT 2024","2564","","","","","","Delete Product and verify it (UI Scope)",""
"passed","Sat Aug 17 16:02:41 GMT 2024","Sat Aug 17 16:02:44 GMT 2024","2589","","","","","","Create product and verify the details (UI Scope)",""
"passed","Sat Aug 17 16:02:47 GMT 2024","Sat Aug 17 16:02:47 GMT 2024","15","","","","","","Delete Product and verify it (API Scope)",""
"passed","Sat Aug 17 16:02:36 GMT 2024","Sat Aug 17 16:02:36 GMT 2024","266","","","","","","Edit Product and verify if its updated (API Scope)",""
